Sl.No,Item Name,01/01/2014,02/01/2014,03/01/2014,04/01/2014,05/01/2014,06/01/2014,07/01/2014,08/01/2014,09/01/2014,10/01/2014,11/01/2014,12/01/2014,13/01/2014,14/01/2014,15/01/2014,16/01/2014,17/01/2014,18/01/2014,19/01/2014,20/01/2014,21/01/2014,22/01/2014,23/01/2014,24/01/2014,25/01/2014,26/01/2014,27/01/2014,28/01/2014,29/01/2014,30/01/2014,31/01/2014,01/02/2014,02/02/2014,03/02/2014,04/02/2014,05/02/2014,06/02/2014,07/02/2014,08/02/2014,09/02/2014,10/02/2014,11/02/2014,12/02/2014,13/02/2014,14/02/2014,15/02/2014,16/02/2014,17/02/2014,18/02/2014,19/02/2014,20/02/2014,21/02/2014,22/02/2014,23/02/2014,24/02/2014,25/02/2014,26/02/2014,27/02/2014,28/02/2014,01/03/2014,02/03/2014,03/03/2014,04/03/2014,05/03/2014,06/03/2014,07/03/2014,08/03/2014,09/03/2014,10/03/2014,11/03/2014,12/03/2014,13/03/2014,14/03/2014,15/03/2014,16/03/2014,17/03/2014,18/03/2014,19/03/2014,20/03/2014,21/03/2014,22/03/2014,23/03/2014,24/03/2014,25/03/2014,26/03/2014,27/03/2014,28/03/2014,29/03/2014,30/03/2014,31/03/2014,01/04/2014,02/04/2014,03/04/2014,04/04/2014,05/04/2014,06/04/2014,07/04/2014,08/04/2014,09/04/2014,10/04/2014,11/04/2014,12/04/2014,13/04/2014,14/04/2014,15/04/2014,16/04/2014,17/04/2014,18/04/2014,19/04/2014,20/04/2014,21/04/2014,22/04/2014,23/04/2014,24/04/2014,25/04/2014,26/04/2014,27/04/2014,28/04/2014,29/04/2014,30/04/2014,01/05/2014,02/05/2014,03/05/2014,04/05/2014,05/05/2014,06/05/2014,07/05/2014,08/05/2014,09/05/2014,10/05/2014,11/05/2014,12/05/2014,13/05/2014,14/05/2014,15/05/2014,16/05/2014,17/05/2014,18/05/2014,19/05/2014,20/05/2014,21/05/2014,22/05/2014,23/05/2014,24/05/2014,25/05/2014,26/05/2014,27/05/2014,28/05/2014,29/05/2014,30/05/2014,31/05/2014,01/06/2014,02/06/2014,03/06/2014,04/06/2014,05/06/2014,06/06/2014,07/06/2014,08/06/2014,09/06/2014,10/06/2014,11/06/2014,12/06/2014,13/06/2014,14/06/2014,15/06/2014,16/06/2014,17/06/2014,18/06/2014,19/06/2014,20/06/2014,21/06/2014,22/06/2014,23/06/2014,24/06/2014,25/06/2014,26/06/2014,27/06/2014,28/06/2014,29/06/2014,30/06/2014,01/07/2014,02/07/2014,03/07/2014,04/07/2014,05/07/2014,06/07/2014,07/07/2014,08/07/2014,09/07/2014,10/07/2014,11/07/2014,12/07/2014,13/07/2014,14/07/2014,15/07/2014,16/07/2014,17/07/2014,18/07/2014,19/07/2014,20/07/2014,21/07/2014,22/07/2014,23/07/2014,24/07/2014,25/07/2014,26/07/2014,27/07/2014,28/07/2014,29/07/2014,30/07/2014,31/07/2014,01/08/2014,02/08/2014,03/08/2014,04/08/2014,05/08/2014,06/08/2014,07/08/2014,08/08/2014,09/08/2014,10/08/2014,11/08/2014,12/08/2014,13/08/2014,14/08/2014,15/08/2014,16/08/2014,17/08/2014,18/08/2014,19/08/2014,20/08/2014,21/08/2014,22/08/2014,23/08/2014,24/08/2014,25/08/2014,26/08/2014,27/08/2014,28/08/2014,29/08/2014,30/08/2014,31/08/2014,01/09/2014,02/09/2014,03/09/2014,04/09/2014,05/09/2014,06/09/2014,07/09/2014,08/09/2014,09/09/2014,10/09/2014,11/09/2014,12/09/2014,13/09/2014,14/09/2014,15/09/2014,16/09/2014,17/09/2014,18/09/2014,19/09/2014,20/09/2014,21/09/2014,22/09/2014,23/09/2014,24/09/2014,25/09/2014,26/09/2014,27/09/2014,28/09/2014,29/09/2014,30/09/2014,01/10/2014,02/10/2014,03/10/2014,04/10/2014,05/10/2014,06/10/2014,07/10/2014,08/10/2014,09/10/2014,10/10/2014,11/10/2014,12/10/2014,13/10/2014,14/10/2014,15/10/2014,16/10/2014,17/10/2014,18/10/2014,19/10/2014,20/10/2014,21/10/2014,22/10/2014,23/10/2014,24/10/2014,25/10/2014,26/10/2014,27/10/2014,28/10/2014,29/10/2014,30/10/2014,31/10/2014,01/11/2014,02/11/2014,03/11/2014,04/11/2014,05/11/2014,06/11/2014,07/11/2014,08/11/2014,09/11/2014,10/11/2014,11/11/2014,12/11/2014,13/11/2014,14/11/2014,15/11/2014,16/11/2014,17/11/2014,18/11/2014,19/11/2014,20/11/2014,21/11/2014,22/11/2014,23/11/2014,24/11/2014,25/11/2014,26/11/2014,27/11/2014,28/11/2014,29/11/2014,30/11/2014,01/12/2014,02/12/2014,03/12/2014,04/12/2014,05/12/2014,06/12/2014,07/12/2014,08/12/2014,09/12/2014,10/12/2014,11/12/2014,12/12/2014,13/12/2014,14/12/2014,15/12/2014,16/12/2014,17/12/2014,18/12/2014,19/12/2014,20/12/2014,21/12/2014,22/12/2014,23/12/2014,24/12/2014,25/12/2014,26/12/2014,27/12/2014,28/12/2014,29/12/2014,30/12/2014,31/12/2014
1,Apple Delicious,122,122,124,126,NR,126,127,127,127,129,129,NR,129,NR,129,129,129,129,NR,129,130,130,130,130,130,NR,130,133,133,133,133,133,NR,133,133,133,133,133,133,NR,133,133,133,133,133,NR,NR,133,133,133,137,137,138,NR,138,138,138,138,138,138,NR,138,138,138,138,138,138,NR,138,138,138,138,138,138,NR,138,138,138,138,138,138,NR,138,138,138,138,138,138,138,NR,138,138,NR,138,138,NR,138,138,138,138,138,138,NR,138,138,138,138,138,138,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,NR,0,0,NR,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,NR,0,0,0,NR,0,0,0,0,NR,NR,NR,0,0,0,119,119,119,NR,118,117,116,116,116,116,NR,116,116,116,116,116,116,NR,116,116,116,116,116,116,NR,116,116,116,116,116,116,NR,118,118,120,120,120,120,NR,120,120,122,122,122,122,NR,122,120,120,120,120,120,NR,120,120,120,120,120,120,NR,126,NR,126,NR,126,NR,NR,126,NR,126,126,126,126,NR,126,126,126,126,NR,126,NR,126,126,130
2,Apple Simla,96,96,96,96,NR,96,96,96,96,96,96,NR,96,NR,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,NR,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,96,NR,96,96,NR,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,NR,96,NR,96,156,149,146,146,146,NR,146,143,143,143,140,140,NR,138,NR,138,138,NR,138,NR,132,130,130,128,128,128,NR,125,123,122,120,120,NR,NR,118,120,120,120,120,120,NR,124,124,NR,124,124,124,NR,124,124,125,125,NR,NR,NR,120,120,120,120,120,120,NR,118,110,110,110,110,110,NR,110,116,116,116,116,116,NR,116,116,116,116,116,116,NR,116,116,116,116,116,116,NR,116,116,116,116,116,116,NR,116,116,116,116,116,116,NR,116,116,116,116,116,116,NR,116,116,116,116,116,116,NR,116,NR,116,NR,116,NR,NR,116,NR,116,116,116,116,NR,116,116,116,116,NR,116,NR,116,116,116
3,Apple Economy,78,78,78,78,NR,78,78,78,78,78,78,NR,78,NR,78,78,78,78,NR,78,78,78,78,78,78,NR,78,78,78,78,78,78,NR,78,78,78,78,78,78,NR,78,78,78,78,78,NR,NR,78,78,78,78,78,78,NR,78,78,78,78,78,78,NR,78,78,78,78,78,78,NR,78,78,78,78,78,78,NR,78,78,78,78,78,78,NR,78,78,78,78,78,78,78,NR,78,78,NR,78,78,NR,78,78,78,78,78,78,NR,78,78,78,78,78,78,NR,78,78,78,78,78,78,NR,78,78,78,78,78,78,NR,78,78,78,78,78,78,NR,78,78,78,78,78,78,NR,78,78,78,78,78,78,NR,78,78,78,78,78,78,NR,78,78,78,78,78,78,NR,78,78,78,78,78,78,NR,78,78,78,178,178,178,NR,178,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,178,NR,178,178,178,178,178,178,NR,178,178,178,178,178,178,NR,178,178,178,178,178,178,NR,178,178,178,178,178,178,NR,178,178,178,178,NR,178,NR,178,178,178,178,178,178,NR,124,110,110,110,110,110,NR,110,NR,110,95,NR,95,NR,90,90,90,90,90,90,NR,90,90,90,90,90,NR,NR,90,90,90,90,90,90,NR,90,90,NR,90,90,90,NR,90,90,90,90,NR,NR,NR,88,88,88,88,88,88,NR,88,88,88,88,88,88,NR,88,88,88,88,88,88,NR,88,88,88,88,88,88,NR,88,88,88,88,88,88,NR,88,88,88,88,88,88,NR,88,88,88,88,88,88,NR,88,88,88,88,88,88,NR,88,88,88,88,88,88,NR,88,NR,88,NR,88,NR,NR,88,NR,88,88,88,88,NR,88,88,88,88,NR,88,NR,88,88,88
4,Apple Washington,210,210,210,210,NR,210,206,206,206,206,206,NR,206,NR,206,206,206,206,NR,206,206,206,206,206,206,NR,204,204,185,190,190,190,NR,190,190,190,190,190,190,NR,186,184,184,184,184,NR,NR,184,184,184,184,182,182,NR,182,182,182,182,182,182,NR,186,186,189,189,189,190,NR,190,192,195,197,197,200,NR,200,204,204,206,206,206,NR,206,209,209,209,209,209,209,NR,216,216,NR,216,219,NR,219,219,223,227,227,227,NR,227,229,229,229,229,229,NR,229,225,225,225,225,225,NR,223,223,223,223,223,223,NR,223,223,223,223,223,223,NR,223,223,223,223,223,223,NR,220,220,220,220,220,220,NR,220,220,220,222,222,222,NR,222,222,222,222,216,216,NR,216,213,213,213,213,213,NR,213,213,204,204,204,204,NR,204,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,202,NR,202,202,202,202,202,202,NR,202,204,204,204,204,204,NR,204,204,0,0,0,0,NR,199,199,199,199,199,199,NR,199,202,202,199,NR,199,NR,199,199,199,184,184,184,NR,184,184,184,184,184,184,NR,184,NR,184,184,NR,184,NR,184,184,184,184,180,172,NR,172,172,172,172,172,NR,NR,172,172,172,172,172,172,NR,172,172,NR,172,172,172,NR,172,172,172,172,NR,NR,NR,172,172,172,172,172,172,NR,172,172,172,172,172,172,NR,172,172,172,172,172,172,NR,172,172,172,172,172,172,NR,172,172,172,172,220,220,NR,220,220,220,220,220,220,NR,220,220,220,220,220,220,NR,220,220,220,220,220,220,NR,220,220,220,220,212,212,NR,212,NR,212,NR,212,NR,NR,212,NR,212,212,212,205,NR,205,205,205,205,NR,205,NR,200,200,200
5,Apple Australia,176,176,176,176,NR,176,176,176,176,176,176,NR,176,NR,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,NR,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,176,NR,176,176,NR,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,NR,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,NR,176,176,NR,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,NR,NR,176,176,176,176,176,176,NR,176,176,NR,176,176,176,NR,176,176,176,176,NR,NR,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,NR,176,NR,176,NR,NR,176,NR,176,176,176,176,NR,176,176,176,176,NR,176,NR,176,176,176
6,Apple Newzeland,0,0,0,0,NR,0,0,0,0,0,0,NR,0,NR,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,182,182,NR,182,182,182,182,182,182,NR,182,182,182,182,182,182,NR,182,182,182,182,182,182,NR,182,182,182,182,182,182,182,NR,182,182,NR,182,182,NR,182,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,235,235,NR,235,235,235,235,235,235,NR,235,235,235,235,235,235,NR,235,235,235,235,235,235,NR,235,235,235,235,235,235,NR,235,235,225,225,225,225,NR,225,225,225,225,225,225,NR,225,225,225,225,225,225,NR,225,225,219,219,219,219,NR,219,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,219,NR,219,219,219,219,219,219,NR,219,219,219,219,219,219,NR,219,219,0,0,0,0,NR,0,0,0,0,0,0,NR,0,194,194,194,NR,194,NR,194,194,194,194,194,194,NR,176,176,176,176,176,176,NR,176,NR,176,176,NR,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,NR,NR,176,176,176,176,176,176,NR,176,176,NR,176,176,176,NR,176,176,176,176,NR,NR,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,NR,176,NR,176,NR,NR,176,NR,176,176,176,176,NR,176,176,176,176,NR,176,NR,176,176,176
7,Apple Fuji chaina,184,184,184,184,NR,184,184,184,184,184,184,NR,184,NR,184,184,184,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,0,NR,0,0,NR,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,206,208,NR,208,208,208,208,208,208,NR,208,208,208,208,210,210,NR,210,210,210,210,210,210,NR,210,210,210,210,210,210,NR,210,210,210,210,210,210,NR,210,210,210,210,210,210,NR,210,210,208,208,208,208,NR,208,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,208,NR,205,205,205,205,205,205,NR,205,205,205,205,205,205,NR,205,205,205,205,205,205,NR,199,199,199,199,199,199,NR,199,202,202,199,NR,199,NR,199,199,199,199,199,182,NR,182,182,182,182,184,184,NR,184,NR,184,184,NR,184,NR,184,184,184,184,184,184,NR,184,184,184,184,184,NR,NR,184,184,184,184,184,184,NR,184,184,NR,184,184,184,NR,184,184,184,184,NR,NR,NR,184,184,184,184,184,184,NR,184,184,184,184,184,184,NR,184,184,184,184,184,184,NR,184,184,184,184,184,184,NR,184,184,184,184,184,184,NR,220,220,220,220,220,220,NR,220,220,220,220,220,220,NR,220,220,220,220,220,220,NR,220,220,220,220,210,210,NR,210,NR,210,NR,210,NR,NR,210,NR,210,210,210,200,NR,200,200,200,200,NR,200,NR,200,200,200
8,Apple hazarath palli,92,92,92,92,NR,92,92,92,92,92,92,NR,92,NR,92,92,92,92,NR,92,92,92,92,92,92,NR,92,92,92,92,92,92,NR,92,92,92,92,92,92,NR,92,92,92,92,92,NR,NR,92,92,92,92,92,92,NR,92,92,92,92,92,92,NR,92,92,92,92,92,92,NR,92,92,92,92,92,92,NR,92,92,92,92,92,92,NR,92,92,92,92,92,92,92,NR,92,92,NR,92,92,NR,92,92,92,92,92,92,NR,92,92,92,92,92,92,NR,92,92,92,92,92,92,NR,92,92,92,92,92,92,NR,92,92,92,92,92,92,NR,92,92,92,92,92,92,NR,92,92,92,92,92,92,NR,92,92,92,92,92,92,NR,92,92,92,92,92,92,NR,92,92,92,92,92,92,NR,92,92,92,92,92,92,NR,92,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,92,NR,92,92,92,92,92,92,NR,92,92,92,92,92,92,NR,92,92,0,0,0,0,NR,130,130,130,130,130,118,NR,118,118,118,118,NR,118,NR,110,110,110,110,100,100,NR,100,100,100,100,100,100,NR,100,NR,100,100,NR,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,NR,NR,100,100,100,100,100,100,NR,100,100,NR,100,100,100,NR,100,100,100,100,NR,NR,NR,100,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,NR,100,NR,100,NR,NR,100,NR,100,100,100,100,NR,100,100,100,100,NR,100,NR,100,100,100
9,Apple Green smith,252,252,252,252,NR,235,235,235,235,235,235,NR,235,NR,235,235,235,235,NR,235,235,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,NR,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,240,NR,240,240,NR,240,240,NR,247,247,247,247,247,247,NR,254,254,254,254,254,254,NR,254,254,254,254,254,254,NR,254,254,254,254,254,254,NR,254,254,254,254,254,254,NR,254,254,254,254,254,254,NR,254,254,254,254,254,254,NR,254,254,254,254,254,254,NR,254,254,254,254,254,254,NR,254,254,254,254,254,254,NR,254,254,254,254,254,254,NR,254,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,254,NR,254,254,254,254,254,254,NR,254,254,254,254,254,254,NR,252,252,252,252,252,252,NR,252,252,252,252,252,252,NR,252,252,252,252,NR,252,NR,252,252,252,252,252,252,NR,244,244,244,244,244,244,NR,244,NR,244,244,NR,244,NR,244,244,244,244,244,290,NR,290,290,290,290,290,NR,NR,290,290,290,290,290,290,NR,290,290,NR,290,290,290,NR,290,290,290,290,NR,NR,NR,290,290,290,290,290,290,NR,290,290,290,297,297,297,NR,297,297,297,297,297,297,NR,297,260,260,260,260,260,NR,260,266,266,266,266,266,NR,266,266,266,262,262,262,NR,262,262,262,262,262,262,NR,262,262,262,262,240,240,NR,240,240,240,240,240,240,NR,240,NR,240,NR,240,NR,NR,240,NR,240,240,240,240,NR,240,240,240,240,NR,240,NR,240,240,240
10,Apple Golden delicious,0,0,0,0,NR,0,0,0,0,0,0,NR,0,NR,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,0,NR,0,0,NR,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,NR,0,0,NR,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,NR,0,0,0,NR,0,0,0,0,NR,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,NR,0,NR,0,NR,NR,0,NR,0,0,0,0,NR,0,0,0,0,NR,0,NR,0,0,0
