Sl.No,Item Name,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,13/01/2016,14/01/2016,15/01/2016,16/01/2016,17/01/2016,18/01/2016,19/01/2016,20/01/2016,21/01/2016,22/01/2016,23/01/2016,24/01/2016,25/01/2016,26/01/2016,27/01/2016,28/01/2016,29/01/2016,30/01/2016,31/01/2016,01/02/2016,02/02/2016,03/02/2016,04/02/2016,05/02/2016,06/02/2016,07/02/2016,08/02/2016,09/02/2016,10/02/2016,11/02/2016,12/02/2016,13/02/2016,14/02/2016,15/02/2016,16/02/2016,17/02/2016,18/02/2016,19/02/2016,20/02/2016,21/02/2016,22/02/2016,23/02/2016,24/02/2016,25/02/2016,26/02/2016,27/02/2016,28/02/2016,29/02/2016,01/03/2016,02/03/2016,03/03/2016,04/03/2016,05/03/2016,06/03/2016,07/03/2016,08/03/2016,09/03/2016,10/03/2016,11/03/2016,12/03/2016,13/03/2016,14/03/2016,15/03/2016,16/03/2016,17/03/2016,18/03/2016,19/03/2016,20/03/2016,21/03/2016,22/03/2016,23/03/2016,24/03/2016,25/03/2016,26/03/2016,27/03/2016,28/03/2016,29/03/2016,30/03/2016,31/03/2016,01/04/2016,02/04/2016,03/04/2016,04/04/2016,05/04/2016,06/04/2016,07/04/2016,08/04/2016,09/04/2016,10/04/2016,11/04/2016,12/04/2016,13/04/2016,14/04/2016,15/04/2016,16/04/2016,17/04/2016,18/04/2016,19/04/2016,20/04/2016,21/04/2016,22/04/2016,23/04/2016,24/04/2016,25/04/2016,26/04/2016,27/04/2016,28/04/2016,29/04/2016,30/04/2016,01/05/2016,02/05/2016,03/05/2016,04/05/2016,05/05/2016,06/05/2016,07/05/2016,08/05/2016,09/05/2016,10/05/2016,11/05/2016,12/05/2016,13/05/2016,14/05/2016,15/05/2016,16/05/2016,17/05/2016,18/05/2016,19/05/2016,20/05/2016,21/05/2016,22/05/2016,23/05/2016,24/05/2016,25/05/2016,26/05/2016,27/05/2016,28/05/2016,29/05/2016,30/05/2016,31/05/2016,01/06/2016,02/06/2016,03/06/2016,04/06/2016,05/06/2016,06/06/2016,07/06/2016,08/06/2016,09/06/2016,10/06/2016,11/06/2016,12/06/2016,13/06/2016,14/06/2016,15/06/2016,16/06/2016,17/06/2016,18/06/2016,19/06/2016,20/06/2016,21/06/2016,22/06/2016,23/06/2016,24/06/2016,25/06/2016,26/06/2016,27/06/2016,28/06/2016,29/06/2016,30/06/2016,01/07/2016,02/07/2016,03/07/2016,04/07/2016,05/07/2016,06/07/2016,07/07/2016,08/07/2016,09/07/2016,10/07/2016,11/07/2016,12/07/2016,13/07/2016,14/07/2016,15/07/2016,16/07/2016,17/07/2016,18/07/2016,19/07/2016,20/07/2016,21/07/2016,22/07/2016,23/07/2016,24/07/2016,25/07/2016,26/07/2016,27/07/2016,28/07/2016,29/07/2016,30/07/2016,31/07/2016,01/08/2016,02/08/2016,03/08/2016,04/08/2016,05/08/2016,06/08/2016,07/08/2016,08/08/2016,09/08/2016,10/08/2016,11/08/2016,12/08/2016,13/08/2016,14/08/2016,15/08/2016,16/08/2016,17/08/2016,18/08/2016,19/08/2016,20/08/2016,21/08/2016,22/08/2016,23/08/2016,24/08/2016,25/08/2016,26/08/2016,27/08/2016,28/08/2016,29/08/2016,30/08/2016,31/08/2016,01/09/2016,02/09/2016,03/09/2016,04/09/2016,05/09/2016,06/09/2016,07/09/2016,08/09/2016,09/09/2016,10/09/2016,11/09/2016,12/09/2016,13/09/2016,14/09/2016,15/09/2016,16/09/2016,17/09/2016,18/09/2016,19/09/2016,20/09/2016,21/09/2016,22/09/2016,23/09/2016,24/09/2016,25/09/2016,26/09/2016,27/09/2016,28/09/2016,29/09/2016,30/09/2016,01/10/2016,02/10/2016,03/10/2016,04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,15/10/2016,16/10/2016,17/10/2016,18/10/2016,19/10/2016,20/10/2016,21/10/2016,22/10/2016,23/10/2016,24/10/2016,25/10/2016,26/10/2016,27/10/2016,28/10/2016,29/10/2016,30/10/2016,31/10/2016,01/11/2016,02/11/2016,03/11/2016,04/11/2016,05/11/2016,06/11/2016,07/11/2016,08/11/2016,09/11/2016,10/11/2016,11/11/2016,12/11/2016,13/11/2016,14/11/2016,15/11/2016,16/11/2016,17/11/2016,18/11/2016,19/11/2016,20/11/2016,21/11/2016,22/11/2016,23/11/2016,24/11/2016,25/11/2016,26/11/2016,27/11/2016,28/11/2016,29/11/2016,30/11/2016,01/12/2016,02/12/2016,03/12/2016,04/12/2016,05/12/2016,06/12/2016,07/12/2016,08/12/2016,09/12/2016,10/12/2016,11/12/2016,12/12/2016,13/12/2016,14/12/2016,15/12/2016,16/12/2016,17/12/2016,18/12/2016,19/12/2016,20/12/2016,21/12/2016,22/12/2016,23/12/2016,24/12/2016,25/12/2016,26/12/2016,27/12/2016,28/12/2016,29/12/2016,30/12/2016,31/12/2016
1,Apple Delicious,99,99,NR,99,99,100,100,100,100,NR,99,100,100,100,100,NR,NR,102,102,102,102,102,102,NR,102,102,102,102,102,102,NR,102,102,102,102,102,102,NR,102,102,102,102,102,102,NR,102,102,102,102,102,102,NR,102,102,102,104,104,104,NR,107,107,107,107,108,108,NR,108,108,NR,108,108,108,NR,108,108,108,108,108,108,NR,108,108,108,108,108,112,NR,112,112,115,NR,115,115,NR,115,115,118,118,118,118,NR,118,119,119,119,119,119,NR,119,119,119,119,119,119,NR,119,119,119,177,NR,177,NR,177,177,177,177,177,177,NR,NR,177,177,177,177,177,NR,177,177,177,177,177,177,NR,177,177,177,177,177,177,NR,177,177,177,177,177,177,NR,177,177,177,177,177,177,NR,177,177,177,177,177,177,NR,177,177,177,177,177,177,NR,NR,177,177,NR,177,177,NR,177,NR,177,177,177,177,NR,177,177,177,177,177,177,NR,177,177,177,NR,NR,NR,NR,NR,177,177,177,177,177,NR,177,177,177,NR,177,177,NR,177,177,NR,177,NR,NR,NR,NR,NR,177,NR,177,177,NR,177,177,177,177,177,177,NR,177,177,NR,177,NR,177,NR,NR,177,177,177,NR,177,NR,177,NR,177,177,NR,177,NR,177,177,177,136,NR,135,NR,135,135,135,135,NR,135,NR,130,130,130,130,130,130,NR,130,NR,130,130,130,NR,NR,130,130,130,130,130,130,NR,130,NR,NR,NR,125,125,NR,NR,NR,125,125,125,125,NR,123,123,123,120,123,123,NR,118,118,118,118,118,NR,NR,118,118,118,118,118,118,NR,NR,NR,118,118,118,118,NR,125,NR,125,NR,125,NR,NR,NR,NR,128,128,128,NR,NR,128,128,128,124,124,124,NR,124,124,125,125,125,129
2,Apple Simla,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,NR,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,NR,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,NR,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,NR,96,NR,96,96,96,96,96,96,NR,NR,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,96,96,96,NR,NR,96,96,NR,96,96,NR,96,NR,96,96,96,96,NR,96,96,96,96,96,96,NR,96,96,96,NR,NR,NR,NR,NR,96,96,96,96,96,NR,96,96,96,NR,96,96,NR,156,156,NR,156,NR,NR,NR,NR,NR,152,NR,152,152,NR,150,139,142,142,142,142,NR,142,142,NR,142,NR,142,NR,NR,144,144,144,NR,144,NR,144,NR,144,144,NR,140,NR,140,138,134,134,NR,134,NR,132,132,132,132,NR,132,NR,125,120,120,120,120,120,NR,120,NR,120,120,120,NR,NR,120,120,120,120,120,120,NR,120,NR,NR,NR,120,120,NR,NR,NR,120,120,120,120,NR,120,120,120,120,120,120,NR,120,120,120,120,120,NR,NR,120,120,120,120,120,120,NR,NR,NR,120,120,120,120,NR,120,NR,120,NR,120,NR,NR,NR,NR,120,120,120,NR,NR,120,120,120,120,120,120,NR,120,120,120,120,120,120
3,Apple Economy,83,83,NR,83,83,83,83,83,83,NR,83,83,83,83,83,NR,NR,83,83,83,83,83,83,NR,83,83,83,83,83,83,NR,83,83,83,83,83,83,NR,83,83,83,83,83,83,NR,83,83,83,83,83,83,NR,83,83,83,83,83,83,NR,83,83,83,83,83,83,NR,83,83,NR,83,83,83,NR,83,83,83,83,83,83,NR,83,83,83,83,83,83,NR,83,83,83,NR,83,83,NR,83,83,83,83,83,83,NR,83,83,83,83,83,83,NR,83,83,83,83,83,83,NR,83,83,83,83,NR,83,NR,83,83,83,83,83,83,NR,NR,83,83,83,83,83,NR,83,83,83,83,83,83,NR,83,83,83,83,83,83,NR,83,83,83,83,83,83,NR,83,83,83,83,83,83,NR,83,83,83,83,83,83,NR,83,83,83,83,83,83,NR,NR,83,83,NR,83,83,NR,83,NR,83,83,83,83,NR,83,83,83,83,83,83,NR,83,83,83,NR,NR,NR,NR,NR,83,83,83,83,83,NR,83,83,83,NR,83,83,NR,83,83,NR,83,NR,NR,NR,NR,NR,120,NR,120,138,NR,138,120,128,128,126,126,NR,126,126,NR,126,NR,126,NR,NR,124,124,124,NR,124,NR,124,NR,124,124,NR,124,NR,124,124,124,124,NR,124,NR,120,120,120,120,NR,120,NR,120,120,120,120,120,120,NR,120,NR,120,120,120,NR,NR,120,120,120,120,120,120,NR,120,NR,NR,NR,120,120,NR,NR,NR,120,120,120,120,NR,120,120,120,120,120,120,NR,120,120,120,120,120,NR,NR,120,120,120,120,120,120,NR,NR,NR,120,120,120,120,NR,120,NR,120,NR,120,NR,NR,NR,NR,120,120,120,NR,NR,120,120,120,120,120,120,NR,120,120,120,120,120,120
4,Apple Washington,180,180,NR,180,180,180,180,173,173,NR,173,173,173,173,173,NR,NR,173,173,173,173,173,187,NR,194,194,194,198,198,198,NR,208,208,208,208,208,208,NR,208,208,208,208,208,208,NR,208,208,208,208,208,208,NR,208,208,208,208,208,208,NR,208,208,208,208,208,208,NR,208,208,NR,208,208,208,NR,208,208,208,204,204,202,NR,202,202,202,203,203,203,NR,203,203,203,NR,203,203,NR,203,203,203,206,206,206,NR,206,206,206,206,206,206,NR,206,198,198,198,198,198,NR,198,198,198,198,NR,198,NR,198,198,198,198,198,198,NR,NR,198,198,198,198,198,NR,198,198,198,198,198,198,NR,198,198,198,198,198,198,NR,198,198,198,198,196,196,NR,196,196,196,196,196,196,NR,196,196,196,196,196,196,NR,196,196,196,196,196,196,NR,NR,196,196,NR,196,196,NR,196,NR,196,196,196,196,NR,196,196,196,196,196,196,NR,196,196,196,NR,NR,NR,NR,NR,196,196,196,196,196,NR,196,196,196,NR,196,196,NR,196,196,NR,196,NR,NR,NR,NR,NR,189,NR,189,189,NR,186,186,186,186,186,186,NR,186,186,NR,186,NR,186,NR,NR,183,183,183,NR,183,NR,183,NR,183,183,NR,183,NR,183,183,180,180,NR,180,NR,180,180,180,180,NR,180,NR,180,180,180,180,180,180,NR,180,NR,180,180,180,NR,NR,180,180,180,180,180,180,NR,180,NR,NR,NR,180,180,NR,NR,NR,180,180,180,180,NR,180,180,180,180,180,180,NR,180,180,180,180,180,NR,NR,180,180,180,180,180,180,NR,NR,NR,180,180,180,180,NR,198,NR,198,NR,198,NR,NR,NR,NR,198,198,198,NR,NR,198,198,198,198,198,198,NR,196,196,196,196,196,196
5,Apple Australia,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,NR,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,0,0,0,0,NR,0,0,NR,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,NR,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,0,0,NR,NR,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,NR,0,0,NR,0,0,NR,0,NR,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,NR,NR,NR,NR,NR,0,0,0,0,0,NR,0,0,0,NR,0,0,NR,0,0,NR,0,NR,NR,NR,NR,NR,0,NR,0,0,NR,0,0,0,0,0,0,NR,0,0,NR,0,NR,0,NR,NR,0,0,0,NR,0,NR,0,NR,0,0,NR,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,0,0,NR,0,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,NR,NR,NR,0,0,NR,NR,NR,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,NR,NR,0,0,0,0,NR,0,NR,0,NR,0,NR,NR,NR,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0
6,Apple Newzeland,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,NR,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,NR,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,176,176,176,NR,176,176,NR,176,176,176,176,176,176,NR,176,176,176,176,176,176,NR,200,200,200,200,200,200,NR,200,200,200,200,NR,200,NR,200,200,200,200,200,200,NR,NR,200,200,200,200,200,NR,200,200,200,200,200,200,NR,200,200,200,200,200,200,NR,200,200,200,200,200,200,NR,200,200,200,200,200,200,NR,200,200,200,200,200,200,NR,200,200,200,200,200,200,NR,NR,200,200,NR,200,200,NR,200,NR,200,200,200,200,NR,200,200,200,200,200,200,NR,200,200,200,NR,NR,NR,NR,NR,200,200,200,200,200,NR,200,200,200,NR,200,200,NR,200,200,NR,200,NR,NR,NR,NR,NR,185,NR,185,185,NR,185,185,185,185,185,185,NR,185,185,NR,185,NR,185,NR,NR,184,184,184,NR,184,NR,184,NR,184,184,NR,184,NR,184,184,184,184,NR,184,NR,184,184,184,184,NR,184,NR,184,184,184,184,184,184,NR,184,NR,184,184,184,NR,NR,184,184,184,184,184,184,NR,184,NR,NR,NR,184,184,NR,NR,NR,184,184,184,184,NR,184,184,184,184,184,184,NR,184,184,184,184,184,NR,NR,184,184,184,184,184,184,NR,NR,NR,184,184,184,184,NR,184,NR,184,NR,184,NR,NR,NR,NR,184,184,184,NR,NR,184,184,184,184,184,184,NR,180,180,180,180,180,180
7,Apple Fuji chaina,199,199,NR,199,199,199,199,199,199,NR,199,199,199,199,199,NR,NR,199,199,199,199,199,199,NR,192,199,199,199,199,199,NR,195,195,195,195,195,195,NR,195,195,208,208,208,208,NR,208,208,208,208,208,208,NR,208,208,208,208,208,208,NR,208,208,208,205,208,208,NR,205,205,NR,199,199,199,NR,199,195,192,186,186,184,NR,184,186,187,189,189,189,NR,189,189,189,NR,189,189,NR,189,189,189,193,193,193,NR,193,193,193,193,193,193,NR,190,184,184,184,184,184,NR,184,184,184,184,NR,184,NR,176,178,178,178,178,178,NR,NR,178,178,178,178,178,NR,178,178,178,178,178,178,NR,178,178,178,178,178,178,NR,178,178,178,178,178,178,NR,178,178,178,178,178,178,NR,178,178,178,178,178,178,NR,178,178,178,178,178,178,NR,NR,178,178,NR,178,178,NR,180,NR,180,180,180,180,NR,180,180,186,186,199,199,NR,199,199,199,NR,NR,NR,NR,NR,199,199,199,199,199,NR,199,199,199,NR,199,199,NR,199,199,NR,199,NR,NR,NR,NR,NR,188,NR,188,188,NR,188,188,188,188,188,188,NR,188,188,NR,188,NR,188,NR,NR,180,180,180,NR,180,NR,180,NR,183,183,NR,183,NR,183,183,183,183,NR,183,NR,183,183,183,183,NR,183,NR,183,183,183,183,192,192,NR,192,NR,192,192,192,NR,NR,192,192,192,192,192,192,NR,192,NR,NR,NR,192,192,NR,NR,NR,192,192,192,192,NR,192,192,192,192,192,192,NR,192,192,192,192,192,NR,NR,192,192,192,142,142,142,NR,NR,NR,142,142,142,142,NR,142,NR,142,NR,192,NR,NR,NR,NR,192,192,192,NR,NR,192,192,192,192,192,192,NR,190,190,190,190,190,190
8,Apple hazarath palli,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,NR,NR,100,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,100,NR,100,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,100,100,NR,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,NR,100,NR,100,100,100,100,100,100,NR,NR,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,100,NR,100,100,100,100,100,198,NR,198,198,198,198,198,198,NR,198,198,198,198,198,198,NR,NR,198,198,NR,198,198,NR,198,NR,198,198,198,198,NR,198,198,198,198,198,198,NR,135,135,135,NR,NR,NR,NR,NR,135,135,135,135,135,NR,135,135,135,NR,135,135,NR,135,135,NR,135,NR,NR,NR,NR,NR,135,NR,135,135,NR,135,135,135,135,135,135,NR,135,135,NR,135,NR,135,NR,NR,135,135,135,NR,135,NR,135,NR,135,135,NR,135,NR,135,135,135,135,NR,135,NR,135,135,135,135,NR,135,NR,135,135,135,135,135,135,NR,135,NR,135,135,135,NR,NR,135,135,135,135,135,135,NR,135,NR,NR,NR,135,135,NR,NR,NR,135,135,135,135,NR,135,135,135,135,135,135,NR,135,135,135,135,135,NR,NR,135,135,135,135,135,135,NR,NR,NR,135,135,135,135,NR,135,NR,135,NR,135,NR,NR,NR,NR,135,135,135,NR,NR,135,135,135,135,135,135,NR,135,135,135,135,135,135
9,Apple Green smith,290,290,NR,290,290,290,290,290,290,NR,290,290,290,290,290,NR,NR,290,290,290,290,290,290,NR,290,290,290,290,290,290,NR,290,290,290,290,290,290,NR,290,290,290,290,290,290,NR,290,250,250,250,250,250,NR,250,250,250,250,250,250,NR,250,250,250,248,248,248,NR,248,248,NR,248,248,248,NR,235,235,235,235,235,235,NR,235,235,235,235,235,235,NR,235,235,235,NR,235,235,NR,235,235,235,235,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,NR,240,NR,240,240,240,240,240,240,NR,NR,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,NR,240,240,NR,240,240,NR,220,NR,220,220,220,220,NR,220,220,220,220,220,220,NR,220,220,220,NR,NR,NR,NR,NR,220,220,220,220,220,NR,220,220,220,NR,220,220,NR,220,220,NR,220,NR,NR,NR,NR,NR,216,NR,216,216,NR,216,216,216,216,216,216,NR,216,216,NR,216,NR,216,NR,NR,214,214,214,NR,214,NR,214,NR,214,214,NR,214,NR,214,214,214,214,NR,214,NR,214,214,214,214,NR,214,NR,214,214,214,214,214,214,NR,214,NR,214,214,214,NR,NR,214,214,214,214,214,217,NR,219,NR,NR,NR,219,219,NR,NR,NR,219,219,219,219,NR,219,219,219,219,219,219,NR,219,219,219,219,219,NR,NR,219,219,219,219,219,219,NR,NR,NR,219,219,219,219,NR,219,NR,219,NR,219,NR,NR,NR,NR,219,219,219,NR,NR,219,219,219,219,219,219,NR,216,216,216,216,216,216
10,Apple Golden delicious,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,NR,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,NR,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,190,NR,190,NR,190,190,190,190,190,190,NR,NR,190,190,190,190,190,NR,190,190,190,190,190,190,NR,190,190,190,190,190,190,NR,190,190,190,190,190,190,NR,190,190,190,190,190,190,NR,190,190,190,190,190,190,NR,190,190,190,190,190,190,NR,NR,190,190,NR,190,190,NR,190,NR,198,200,200,200,NR,200,200,200,200,200,200,NR,200,200,200,NR,NR,NR,NR,NR,200,200,200,200,200,NR,200,200,200,NR,200,200,NR,200,200,NR,200,NR,NR,NR,NR,NR,200,NR,200,200,NR,200,200,200,200,200,200,NR,200,200,NR,200,NR,200,NR,NR,200,200,200,NR,200,NR,200,NR,200,200,NR,200,NR,200,200,200,200,NR,200,NR,200,200,200,200,NR,200,NR,200,200,200,200,200,200,NR,200,NR,200,200,200,NR,NR,200,200,200,200,200,200,NR,200,NR,NR,NR,200,200,NR,NR,NR,200,200,200,200,NR,200,200,200,200,200,200,NR,200,200,200,200,200,NR,NR,200,200,200,200,200,200,NR,NR,NR,200,200,200,200,NR,200,NR,200,NR,200,NR,NR,NR,NR,200,200,200,NR,NR,200,200,200,200,200,200,NR,200,200,200,200,200,200
