"Sl.No","Item Name","01/01/2017","02/01/2017","03/01/2017","04/01/2017","05/01/2017","06/01/2017","07/01/2017","08/01/2017","09/01/2017","10/01/2017","11/01/2017","12/01/2017","13/01/2017","14/01/2017","15/01/2017","16/01/2017","17/01/2017","18/01/2017","19/01/2017","20/01/2017","21/01/2017","22/01/2017","23/01/2017","24/01/2017","25/01/2017","26/01/2017","27/01/2017","28/01/2017","29/01/2017","30/01/2017","31/01/2017","01/02/2017","02/02/2017","03/02/2017","04/02/2017","05/02/2017","06/02/2017","07/02/2017","08/02/2017","09/02/2017","10/02/2017","11/02/2017","12/02/2017","13/02/2017","14/02/2017","15/02/2017","16/02/2017","17/02/2017","18/02/2017","19/02/2017","20/02/2017","21/02/2017","22/02/2017","23/02/2017","24/02/2017","25/02/2017","26/02/2017","27/02/2017","28/02/2017","01/03/2017","02/03/2017","03/03/2017","04/03/2017","05/03/2017","06/03/2017","07/03/2017","08/03/2017","09/03/2017","10/03/2017","11/03/2017","12/03/2017","13/03/2017","14/03/2017","15/03/2017","16/03/2017","17/03/2017","18/03/2017","19/03/2017","20/03/2017","21/03/2017","22/03/2017","23/03/2017","24/03/2017","25/03/2017","26/03/2017","27/03/2017","28/03/2017","29/03/2017","30/03/2017","31/03/2017","01/04/2017","02/04/2017","03/04/2017","04/04/2017","05/04/2017","06/04/2017","07/04/2017","08/04/2017","09/04/2017","10/04/2017","11/04/2017","12/04/2017","13/04/2017","14/04/2017","15/04/2017","16/04/2017","17/04/2017","18/04/2017","19/04/2017","20/04/2017","21/04/2017","22/04/2017","23/04/2017","24/04/2017","25/04/2017","26/04/2017","27/04/2017","28/04/2017","29/04/2017","30/04/2017","01/05/2017","02/05/2017","03/05/2017","04/05/2017","05/05/2017","06/05/2017","07/05/2017","08/05/2017","09/05/2017","10/05/2017","11/05/2017","12/05/2017","13/05/2017","14/05/2017","15/05/2017","16/05/2017","17/05/2017","18/05/2017","19/05/2017","20/05/2017","21/05/2017","22/05/2017","23/05/2017","24/05/2017","25/05/2017","26/05/2017","27/05/2017","28/05/2017","29/05/2017","30/05/2017","31/05/2017","01/06/2017","02/06/2017","03/06/2017","04/06/2017","05/06/2017","06/06/2017","07/06/2017","08/06/2017","09/06/2017","10/06/2017","11/06/2017","12/06/2017","13/06/2017","14/06/2017","15/06/2017","16/06/2017","17/06/2017","18/06/2017","19/06/2017","20/06/2017","21/06/2017","22/06/2017","23/06/2017","24/06/2017","25/06/2017","26/06/2017","27/06/2017","28/06/2017","29/06/2017","30/06/2017","01/07/2017","02/07/2017","03/07/2017","04/07/2017","05/07/2017","06/07/2017","07/07/2017","08/07/2017","09/07/2017","10/07/2017","11/07/2017","12/07/2017","13/07/2017","14/07/2017","15/07/2017","16/07/2017","17/07/2017","18/07/2017","19/07/2017","20/07/2017","21/07/2017","22/07/2017","23/07/2017","24/07/2017","25/07/2017","26/07/2017","27/07/2017","28/07/2017","29/07/2017","30/07/2017","31/07/2017","01/08/2017","02/08/2017","03/08/2017","04/08/2017","05/08/2017","06/08/2017","07/08/2017","08/08/2017","09/08/2017","10/08/2017","11/08/2017","12/08/2017","13/08/2017","14/08/2017","15/08/2017","16/08/2017","17/08/2017","18/08/2017","19/08/2017","20/08/2017","21/08/2017","22/08/2017","23/08/2017","24/08/2017","25/08/2017","26/08/2017","27/08/2017","28/08/2017","29/08/2017","30/08/2017","31/08/2017","01/09/2017","02/09/2017","03/09/2017","04/09/2017","05/09/2017","06/09/2017","07/09/2017","08/09/2017","09/09/2017","10/09/2017","11/09/2017","12/09/2017","13/09/2017","14/09/2017","15/09/2017","16/09/2017","17/09/2017","18/09/2017","19/09/2017","20/09/2017","21/09/2017","22/09/2017","23/09/2017","24/09/2017","25/09/2017","26/09/2017","27/09/2017","28/09/2017","29/09/2017","30/09/2017","01/10/2017","02/10/2017","03/10/2017","04/10/2017","05/10/2017","06/10/2017","07/10/2017","08/10/2017","09/10/2017","10/10/2017","11/10/2017","12/10/2017","13/10/2017","14/10/2017","15/10/2017","16/10/2017","17/10/2017","18/10/2017","19/10/2017","20/10/2017","21/10/2017","22/10/2017","23/10/2017","24/10/2017","25/10/2017","26/10/2017","27/10/2017","28/10/2017","29/10/2017","30/10/2017","31/10/2017","01/11/2017","02/11/2017","03/11/2017","04/11/2017","05/11/2017","06/11/2017","07/11/2017","08/11/2017","09/11/2017","10/11/2017","11/11/2017","12/11/2017","13/11/2017","14/11/2017","15/11/2017","16/11/2017","17/11/2017","18/11/2017","19/11/2017","20/11/2017","21/11/2017","22/11/2017","23/11/2017","24/11/2017","25/11/2017","26/11/2017","27/11/2017","28/11/2017","29/11/2017","30/11/2017"
1,"Apple Delicious","NR",129,129,129,129,"NR",129,"NR",129,129,"NR",132,132,"NR","NR",136,"NR",136,136,136,136,"NR","NR",136,136,136,136,136,"NR",136,136,136,"NR",136,136,"NR",136,136,136,136,136,136,"NR","NR",136,136,136,136,136,"NR",136,136,136,"NR",136,"NR","NR",136,"NR","NR",136,136,136,"NR",136,136,136,136,136,136,"NR",136,136,136,136,136,136,"NR",136,136,136,136,136,136,"NR","NR",136,"NR",136,"NR","NR","NR",136,136,136,136,136,136,"NR",136,"NR",136,136,136,136,"NR",136,136,136,136,136,136,"NR","NR",136,136,136,136,136,"NR",136,136,136,136,"NR","NR","NR",136,136,136,136,136,136,"NR",136,"NR",136,136,136,136,"NR",136,136,136,136,136,136,"NR",136,136,136,136,136,136,"NR",136,136,136,136,136,"NR","NR","NR",136,136,136,136,136,"NR",136,136,136,136,136,136,"NR",136,136,136,136,136,"NR","NR",136,"NR",136,136,136,136,"NR",136,136,136,136,136,136,"NR","NR",136,136,136,136,"NR","NR",136,136,136,136,136,136,"NR",136,136,136,136,"NR",136,"NR",136,136,136,136,136,136,"NR",136,136,136,136,136,136,"NR",136,136,136,136,136,136,"NR",136,136,136,136,136,136,"NR",136,136,136,"NR",136,136,"NR",136,136,136,136,"NR",136,"NR",136,"NR","NR",136,136,"NR","NR","NR","NR",136,136,136,"NR","NR",136,132,132,132,129,129,"NR",126,126,126,120,120,120,"NR",120,115,115,110,112,114,"NR",117,117,117,120,120,120,"NR",120,120,"NR",120,120,120,"NR",120,120,120,120,120,120,"NR",120,120,120,120,"NR",120,"NR","NR",120,120,120,120,120,"NR",120,120,120,120
2,"Apple Simla","NR",120,120,120,120,"NR",120,"NR",120,120,"NR",120,120,"NR","NR",120,"NR",120,120,120,120,"NR","NR",120,120,120,120,120,"NR",120,120,120,"NR",120,120,"NR",120,120,120,120,120,120,"NR","NR",120,120,120,120,120,"NR",120,120,120,"NR",120,"NR","NR",120,"NR","NR",120,120,120,"NR",120,120,120,120,120,120,"NR",120,120,120,120,120,120,"NR",120,120,120,120,120,120,"NR","NR",120,"NR",120,"NR","NR","NR",120,120,120,120,120,120,"NR",120,"NR",120,120,120,120,"NR",120,120,120,120,120,120,"NR","NR",120,120,120,120,120,"NR",120,120,120,120,"NR","NR","NR",120,120,120,120,120,120,"NR",120,"NR",120,120,120,120,"NR",120,120,120,120,120,120,"NR",120,120,120,120,120,120,"NR",120,120,120,120,120,"NR","NR","NR",120,120,120,120,120,"NR",120,120,120,120,120,120,"NR",120,120,120,120,120,"NR","NR",120,"NR",120,120,120,120,"NR",120,120,120,120,120,120,"NR","NR",120,120,120,120,"NR","NR",120,162,162,162,162,162,"NR",162,168,168,168,"NR",168,"NR",168,168,168,168,168,168,"NR",168,168,168,168,168,168,"NR",166,166,166,166,166,166,"NR",166,166,157,156,154,152,"NR",149,149,149,"NR",149,145,"NR",145,145,142,142,"NR",142,"NR",138,"NR","NR",138,138,"NR","NR","NR","NR",138,138,138,"NR","NR",138,132,132,126,126,126,"NR",126,126,126,120,120,120,"NR",120,120,120,110,112,112,"NR",112,112,112,112,112,112,"NR",112,112,"NR",112,112,112,"NR",112,112,112,112,112,112,"NR",112,112,112,112,"NR",112,"NR","NR",112,112,112,112,112,"NR",112,112,112,112
3,"Apple Economy","NR",120,120,120,120,"NR",120,"NR",120,120,"NR",120,120,"NR","NR",120,"NR",120,120,120,120,"NR","NR",120,120,120,120,120,"NR",120,120,120,"NR",120,120,"NR",120,120,120,120,120,120,"NR","NR",120,120,120,120,120,"NR",120,120,120,"NR",120,"NR","NR",120,"NR","NR",120,120,120,"NR",120,120,120,120,120,120,"NR",120,120,120,120,120,120,"NR",120,120,120,120,120,120,"NR","NR",120,"NR",120,"NR","NR","NR",120,120,120,120,120,120,"NR",120,"NR",120,120,120,120,"NR",120,120,120,120,120,120,"NR","NR",120,120,120,120,120,"NR",120,120,120,120,"NR","NR","NR",120,120,120,120,120,120,"NR",120,"NR",120,120,120,120,"NR",120,120,120,120,120,120,"NR",120,120,120,120,120,120,"NR",120,120,120,120,120,"NR","NR","NR",120,120,120,120,120,"NR",120,120,120,120,120,120,"NR",120,120,120,120,120,"NR","NR",120,"NR",120,120,120,120,"NR",120,120,120,120,120,120,"NR","NR",120,120,120,120,"NR","NR",120,120,120,120,120,120,"NR",120,120,120,120,"NR",120,"NR",120,120,120,120,120,120,"NR",120,120,120,120,120,120,"NR",136,136,136,136,136,136,"NR",136,136,136,136,122,120,"NR",118,118,118,"NR",116,116,"NR",116,116,116,116,"NR",116,"NR",116,"NR","NR",116,116,"NR","NR","NR","NR",116,116,116,"NR","NR",116,116,116,116,116,116,"NR",116,116,116,116,116,113,"NR",113,100,100,100,100,102,"NR",104,104,104,104,108,108,"NR",112,112,"NR",112,112,112,"NR",112,114,114,114,114,114,"NR",114,114,114,114,"NR",114,"NR","NR",114,114,114,117,117,"NR",117,117,117,117
4,"Apple Washington","NR",196,196,196,196,"NR",196,"NR",195,195,"NR",195,195,"NR","NR",195,"NR",195,195,195,195,"NR","NR",195,195,195,195,195,"NR",195,195,195,"NR",195,195,"NR",195,195,195,195,195,195,"NR","NR",195,195,195,195,195,"NR",195,195,195,"NR",195,"NR","NR",195,"NR","NR",195,195,195,"NR",195,195,195,195,189,189,"NR",189,189,189,189,186,186,"NR",186,186,186,186,186,186,"NR","NR",186,"NR",186,"NR","NR","NR",185,185,185,185,185,185,"NR",185,"NR",185,183,183,183,"NR",183,183,183,183,183,183,"NR","NR",183,183,183,183,183,"NR",183,180,180,180,"NR","NR","NR",180,180,180,180,180,180,"NR",180,"NR",180,180,180,180,"NR",180,180,180,180,180,180,"NR",180,180,180,180,180,180,"NR",180,180,180,180,180,"NR","NR","NR",180,180,180,180,180,"NR",180,180,178,178,178,178,"NR",178,178,178,178,178,"NR","NR",178,"NR",178,178,178,178,"NR",178,178,178,178,178,178,"NR","NR",178,178,178,178,"NR","NR",178,178,178,178,178,178,"NR",178,178,178,178,"NR",178,"NR",178,178,198,198,198,198,"NR",198,198,198,198,198,198,"NR",198,198,198,198,198,198,"NR",207,214,214,214,214,210,"NR",210,210,210,"NR",210,210,"NR",210,210,210,210,"NR",210,"NR",210,"NR","NR",210,210,"NR","NR","NR","NR",210,210,210,"NR","NR",210,228,228,228,228,228,"NR",228,228,228,228,228,228,"NR",228,226,226,226,226,226,"NR",226,226,224,224,224,224,"NR",224,224,"NR",224,224,224,"NR",224,224,224,222,222,222,"NR",222,222,222,222,"NR",222,"NR","NR",222,222,222,222,222,"NR",222,222,222,222
5,"Apple Australia","NR",0,0,0,0,"NR",0,"NR",0,0,"NR",0,0,"NR","NR",0,"NR",0,0,0,0,"NR","NR",0,0,0,0,0,"NR",0,0,0,"NR",0,0,"NR",0,0,0,0,0,0,"NR","NR",0,0,0,0,0,"NR",0,0,0,"NR",0,"NR","NR",0,"NR","NR",0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,0,"NR","NR",0,"NR",0,"NR","NR","NR",0,0,0,0,0,0,"NR",0,"NR",0,0,0,0,"NR",0,0,0,0,0,0,"NR","NR",0,0,0,0,0,"NR",0,0,0,0,"NR","NR","NR",0,0,0,0,0,0,"NR",0,"NR",0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,"NR","NR","NR",0,0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,"NR","NR",0,"NR",0,0,0,0,"NR",0,0,0,0,0,0,"NR","NR",0,0,0,0,"NR","NR",0,0,0,0,0,0,"NR",0,0,0,0,"NR",0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,"NR",0,0,"NR",0,0,0,0,"NR",0,"NR",0,"NR","NR",0,0,"NR","NR","NR","NR",0,0,0,"NR","NR",0,0,0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,"NR",0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,"NR",0,"NR","NR",0,0,0,0,0,"NR",0,0,0,0
6,"Apple Newzeland","NR",180,180,180,180,"NR",180,"NR",213,213,"NR",213,213,"NR","NR",213,"NR",213,213,213,213,"NR","NR",213,213,213,213,213,"NR",213,213,213,"NR",213,213,"NR",213,213,213,213,213,213,"NR","NR",213,213,213,213,213,"NR",213,213,213,"NR",213,"NR","NR",213,"NR","NR",213,213,213,"NR",213,213,213,213,213,213,"NR",213,213,213,213,213,213,"NR",213,213,213,213,213,213,"NR","NR",213,"NR",213,"NR","NR","NR",213,213,213,213,213,213,"NR",213,"NR",213,213,213,213,"NR",213,213,213,213,213,213,"NR","NR",213,213,213,213,213,"NR",213,213,213,213,"NR","NR","NR",213,213,213,213,213,213,"NR",213,"NR",213,213,213,213,"NR",213,213,213,213,213,213,"NR",213,213,213,213,213,213,"NR",213,213,213,213,213,"NR","NR","NR",213,213,213,213,213,"NR",213,213,213,213,213,213,"NR",213,213,213,213,213,"NR","NR",213,"NR",213,213,213,213,"NR",213,213,213,213,213,213,"NR","NR",213,213,213,213,"NR","NR",213,213,213,213,213,213,"NR",213,213,213,213,"NR",213,"NR",213,213,213,213,213,213,"NR",213,213,213,213,213,213,"NR",213,213,213,213,213,213,"NR",213,213,213,213,213,213,"NR",213,213,213,"NR",213,213,"NR",213,222,222,222,"NR",222,"NR",222,"NR","NR",222,222,"NR","NR","NR","NR",222,222,222,"NR","NR",222,222,222,222,222,222,"NR",222,222,222,222,222,196,"NR",196,196,196,196,196,196,"NR",196,196,196,196,196,196,"NR",196,196,"NR",196,196,196,"NR",196,196,196,196,196,196,"NR",196,196,196,196,"NR",196,"NR","NR",196,196,196,222,222,"NR",222,222,222,222
7,"Apple Fuji chaina","NR",190,190,190,190,"NR",190,"NR",189,189,"NR",189,189,"NR","NR",189,"NR",189,189,189,189,"NR","NR",189,189,189,189,189,"NR",189,189,189,"NR",189,189,"NR",189,189,189,189,189,189,"NR","NR",189,189,189,189,189,"NR",189,189,189,"NR",189,"NR","NR",189,"NR","NR",189,189,189,"NR",189,189,189,189,189,189,"NR",189,189,189,189,189,189,"NR",189,189,189,189,189,189,"NR","NR",189,"NR",189,"NR","NR","NR",189,189,189,189,189,189,"NR",189,"NR",189,189,189,189,"NR",189,189,189,189,189,189,"NR","NR",189,189,189,189,189,"NR",189,189,189,189,"NR","NR","NR",189,189,189,189,189,189,"NR",189,"NR",189,189,189,189,"NR",189,189,189,189,189,189,"NR",189,189,189,189,189,189,"NR",189,189,189,189,189,"NR","NR","NR",189,189,189,189,189,"NR",189,189,189,189,189,189,"NR",189,189,189,189,189,"NR","NR",189,"NR",189,189,189,189,"NR",189,189,189,189,189,189,"NR","NR",189,189,189,189,"NR","NR",189,189,189,189,189,189,"NR",189,189,189,189,"NR",189,"NR",189,189,189,189,189,189,"NR",189,189,189,189,189,189,"NR",189,189,189,189,189,189,"NR",189,189,189,189,189,189,"NR",189,189,189,"NR",189,189,"NR",189,189,189,189,"NR",189,"NR",189,"NR","NR",189,189,"NR","NR","NR","NR",189,189,189,"NR","NR",189,189,189,189,189,189,"NR",189,189,189,189,189,189,"NR",189,189,189,189,189,189,"NR",189,189,189,189,189,189,"NR",189,189,"NR",189,189,189,"NR",189,189,189,189,189,189,"NR",189,189,189,189,"NR",189,"NR","NR",189,189,189,189,189,"NR",189,189,189,189
8,"Apple hazarath palli","NR",135,135,135,135,"NR",135,"NR",135,135,"NR",135,135,"NR","NR",135,"NR",135,135,135,135,"NR","NR",135,135,135,135,135,"NR",135,135,135,"NR",135,135,"NR",135,135,135,135,135,135,"NR","NR",135,135,135,135,135,"NR",135,135,135,"NR",135,"NR","NR",135,"NR","NR",135,135,135,"NR",135,135,135,135,135,135,"NR",135,135,135,135,135,135,"NR",135,135,135,135,135,135,"NR","NR",135,"NR",135,"NR","NR","NR",135,135,135,135,135,135,"NR",135,"NR",135,135,135,135,"NR",135,135,135,135,135,135,"NR","NR",135,135,135,135,135,"NR",135,135,135,135,"NR","NR","NR",135,135,135,135,135,135,"NR",135,"NR",135,135,135,135,"NR",135,135,135,135,135,135,"NR",135,135,135,135,135,135,"NR",135,135,135,135,135,"NR","NR","NR",135,135,135,135,135,"NR",135,135,135,135,135,135,"NR",135,135,135,135,135,"NR","NR",135,"NR",135,135,135,135,"NR",135,135,135,135,135,135,"NR","NR",135,135,135,135,"NR","NR",135,135,135,135,135,135,"NR",135,135,135,135,"NR",135,"NR",135,135,135,135,135,135,"NR",135,135,135,135,135,135,"NR",135,135,135,135,135,135,"NR",135,135,135,135,135,135,"NR",135,135,135,"NR",135,135,"NR",135,135,135,135,"NR",135,"NR",135,"NR","NR",135,135,"NR","NR","NR","NR",135,135,135,"NR","NR",135,135,135,135,135,135,"NR",135,135,135,135,135,135,"NR",135,135,135,135,135,135,"NR",135,135,135,135,135,135,"NR",135,135,"NR",135,135,135,"NR",135,135,135,135,135,135,"NR",135,135,135,135,"NR",135,"NR","NR",135,135,135,0,0,"NR",0,0,0,0
9,"Apple Green smith","NR",216,216,216,216,"NR",216,"NR",214,214,"NR",214,214,"NR","NR",214,"NR",214,214,214,214,"NR","NR",214,214,214,214,214,"NR",214,214,214,"NR",214,214,"NR",214,214,214,214,214,214,"NR","NR",214,214,214,214,214,"NR",214,214,214,"NR",214,"NR","NR",214,"NR","NR",214,214,214,"NR",214,214,214,214,214,214,"NR",214,214,214,214,214,214,"NR",214,214,214,214,214,214,"NR","NR",214,"NR",214,"NR","NR","NR",214,214,214,214,214,214,"NR",214,"NR",214,214,214,214,"NR",214,214,214,214,214,214,"NR","NR",210,210,210,210,210,"NR",210,210,210,210,"NR","NR","NR",210,210,210,210,210,210,"NR",210,"NR",210,210,210,210,"NR",210,210,210,210,210,210,"NR",210,210,210,210,210,210,"NR",210,210,210,210,210,"NR","NR","NR",210,210,210,210,210,"NR",210,210,210,210,210,210,"NR",210,210,210,210,210,"NR","NR",210,"NR",210,210,210,210,"NR",210,210,210,210,210,210,"NR","NR",210,210,210,210,"NR","NR",210,210,210,210,210,210,"NR",210,210,210,210,"NR",210,"NR",210,210,210,210,210,210,"NR",210,210,210,210,210,210,"NR",210,210,210,210,210,210,"NR",210,210,210,210,210,210,"NR",210,210,210,"NR",210,210,"NR",210,210,210,210,"NR",210,"NR",210,"NR","NR",210,210,"NR","NR","NR","NR",210,210,210,"NR","NR",210,210,210,210,210,210,"NR",210,210,210,210,210,210,"NR",210,210,210,210,210,210,"NR",210,210,210,210,210,210,"NR",210,210,"NR",210,210,210,"NR",210,210,210,210,210,210,"NR",210,210,210,210,"NR",210,"NR","NR",210,210,210,240,240,"NR",240,240,240,240
10,"Apple Golden delicious","NR",200,200,200,200,"NR",200,"NR",200,200,"NR",200,200,"NR","NR",200,"NR",200,200,200,200,"NR","NR",200,200,200,200,200,"NR",200,200,200,"NR",200,200,"NR",200,200,200,200,200,200,"NR","NR",200,200,200,200,200,"NR",200,200,200,"NR",200,"NR","NR",200,"NR","NR",200,200,200,"NR",200,200,200,200,200,200,"NR",200,200,200,200,200,200,"NR",200,200,200,200,200,200,"NR","NR",200,"NR",200,"NR","NR","NR",200,200,200,200,200,200,"NR",200,"NR",200,200,200,200,"NR",200,200,200,200,200,200,"NR","NR",200,200,200,200,200,"NR",200,200,200,200,"NR","NR","NR",200,200,200,200,200,200,"NR",200,"NR",200,200,200,200,"NR",200,200,200,200,200,200,"NR",200,200,200,200,200,200,"NR",200,200,200,200,200,"NR","NR","NR",200,200,200,200,200,"NR",200,200,200,200,200,200,"NR",200,200,200,200,200,"NR","NR",200,"NR",200,200,200,200,"NR",200,200,200,200,200,200,"NR","NR",200,200,200,200,"NR","NR",200,200,200,200,200,200,"NR",200,200,200,200,"NR",200,"NR",200,200,200,200,200,200,"NR",200,200,200,200,200,200,"NR",200,200,200,200,200,200,"NR",200,200,200,200,200,200,"NR",200,200,200,"NR",200,200,"NR",200,200,200,200,"NR",200,"NR",200,"NR","NR",200,200,"NR","NR","NR","NR",200,200,200,"NR","NR",200,200,200,200,200,200,"NR",200,200,200,200,200,200,"NR",200,200,200,200,200,200,"NR",200,200,200,200,200,200,"NR",200,200,"NR",200,200,200,"NR",200,200,200,200,200,200,"NR",200,200,200,200,"NR",200,"NR","NR",200,200,200,200,200,"NR",200,200,200,200
