Sl.No,Item Name,01/12/2017,02/12/2017,03/12/2017,04/12/2017,05/12/2017,06/12/2017,07/12/2017,08/12/2017,09/12/2017,10/12/2017,11/12/2017,12/12/2017,13/12/2017,14/12/2017,15/12/2017,16/12/2017,17/12/2017,18/12/2017,19/12/2017,20/12/2017,21/12/2017,22/12/2017,23/12/2017,24/12/2017,25/12/2017,26/12/2017,27/12/2017,28/12/2017
1,Apple Delicious,120,120,NR,120,120,NR,120,120,120,NR,120,120,120,120,NR,120,NR,120,120,120,120,120,120,NR,120,120,NR,120
2,Apple Simla,112,112,NR,112,112,NR,112,112,112,NR,112,112,112,112,NR,112,NR,112,112,112,112,112,112,NR,112,112,NR,112
3,Apple Economy,117,117,NR,117,117,NR,117,117,117,NR,117,117,117,117,NR,117,NR,117,117,117,117,117,117,NR,117,117,NR,117
4,Apple Washington,222,222,NR,222,222,NR,222,222,222,NR,222,222,222,215,NR,215,NR,215,215,215,215,215,215,NR,215,215,NR,215
5,Apple Australia,0,0,NR,0,0,NR,0,0,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,0,0,NR,0,0,NR,0
6,Apple Newzeland,222,222,NR,222,222,NR,222,222,222,NR,222,222,222,222,NR,222,NR,222,222,222,222,222,222,NR,222,222,NR,222
7,Apple Fuji chaina,189,189,NR,189,189,NR,189,189,189,NR,189,189,189,189,NR,189,NR,189,189,189,189,189,189,NR,189,189,NR,189
8,Apple hazarath palli,0,0,NR,0,0,NR,0,0,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,0,0,NR,0,0,NR,0
9,Apple Green smith,240,240,NR,240,240,NR,240,240,240,NR,240,240,240,240,NR,240,NR,240,240,240,240,240,240,NR,240,240,NR,240
10,Apple Golden delicious,200,200,NR,200,200,NR,200,200,200,NR,200,200,200,200,NR,200,NR,200,200,200,200,200,200,NR,200,200,NR,200
11,Banana pachabale,28,28,NR,30,30,NR,30,30,30,NR,30,29,29,29,NR,29,NR,29,29,29,29,28,28,NR,28,28,NR,28
12,Banana Yellaki,60,60,NR,62,62,NR,62,60,60,NR,60,59,59,59,NR,60,NR,60,60,60,58,57,57,NR,57,57,NR,57
13,Banana chandra,80,80,NR,80,80,NR,80,80,80,NR,80,80,80,80,NR,80,NR,80,80,80,80,80,80,NR,80,80,NR,80
14,Banana Nendra,55,55,NR,55,55,NR,55,55,55,NR,55,55,55,55,NR,55,NR,55,55,55,55,55,55,NR,55,55,NR,55
15,Banana karpura,0,0,NR,0,0,NR,0,0,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,0,0,NR,0,0,NR,0
16,Banana Rasabale,68,68,NR,68,68,NR,68,68,68,NR,68,68,68,68,NR,68,NR,68,68,68,68,68,68,NR,68,68,NR,68
17,Chicco(Sapota) rapined,52,52,NR,52,52,NR,52,52,52,NR,52,52,52,52,NR,52,NR,52,52,52,52,52,52,NR,52,52,NR,52
