Sl.No,Item Name,01/01/2018,02/01/2018,03/01/2018,04/01/2018,05/01/2018,06/01/2018,07/01/2018,08/01/2018,09/01/2018,10/01/2018,11/01/2018,12/01/2018,13/01/2018,14/01/2018,15/01/2018,16/01/2018,17/01/2018,18/01/2018,19/01/2018,20/01/2018,21/01/2018,22/01/2018,23/01/2018,24/01/2018,25/01/2018,26/01/2018,27/01/2018,28/01/2018,29/01/2018,30/01/2018,31/01/2018,01/02/2018,02/02/2018,03/02/2018,04/02/2018,05/02/2018,06/02/2018,07/02/2018,08/02/2018,09/02/2018,10/02/2018,11/02/2018,12/02/2018,13/02/2018,14/02/2018,15/02/2018,16/02/2018,17/02/2018,18/02/2018,19/02/2018,20/02/2018,21/02/2018,22/02/2018,23/02/2018,24/02/2018,25/02/2018,26/02/2018,27/02/2018,28/02/2018,01/03/2018,02/03/2018,03/03/2018,04/03/2018,05/03/2018,06/03/2018,07/03/2018,08/03/2018,09/03/2018,10/03/2018,11/03/2018,12/03/2018,13/03/2018,14/03/2018,15/03/2018,16/03/2018,17/03/2018,18/03/2018,19/03/2018,20/03/2018,21/03/2018,22/03/2018,23/03/2018,24/03/2018,25/03/2018,26/03/2018,27/03/2018,28/03/2018,29/03/2018,30/03/2018,31/03/2018,01/04/2018,02/04/2018,03/04/2018,04/04/2018,05/04/2018,06/04/2018,07/04/2018,08/04/2018,09/04/2018,10/04/2018,11/04/2018,12/04/2018,13/04/2018,14/04/2018,15/04/2018,16/04/2018,17/04/2018,18/04/2018,19/04/2018,20/04/2018,21/04/2018,22/04/2018,23/04/2018,24/04/2018,25/04/2018,26/04/2018,27/04/2018,28/04/2018,29/04/2018,30/04/2018,01/05/2018,02/05/2018,03/05/2018,04/05/2018,05/05/2018,06/05/2018,07/05/2018,08/05/2018,09/05/2018,10/05/2018,11/05/2018,12/05/2018,13/05/2018,14/05/2018,15/05/2018,16/05/2018,17/05/2018,18/05/2018,19/05/2018,20/05/2018,21/05/2018,22/05/2018,23/05/2018,24/05/2018,25/05/2018,26/05/2018,27/05/2018,28/05/2018,29/05/2018,30/05/2018,31/05/2018
1,Apple Delicious,120,120,120,120,110,110,NR,110,110,110,110,NR,NR,NR,110,110,110,110,110,110,NR,110,110,110,110,110,110,NR,110,110,110,110,110,110,NR,110,110,116,116,116,116,NR,116,116,118,118,118,120,NR,120,120,123,123,123,123,NR,123,123,123,123,123,123,NR,123,123,123,123,123,123,NR,123,NR,123,123,123,NR,NR,NR,123,NR,123,123,123,NR,123,123,123,123,123,123,NR,123,123,123,123,123,123,NR,123,123,123,123,123,123,NR,NR,123,123,123,123,123,NR,123,NR,NR,123,123,123,NR,123,123,123,123,123,123,NR,123,123,123,123,123,NR,NR,123,123,123,NR,123,123,NR,NR,123,123,123,123,NR,NR,123,123,NR,123
2,Apple Simla,112,112,112,112,112,112,NR,112,112,112,112,NR,NR,NR,112,112,112,112,112,112,NR,112,112,112,112,112,112,NR,112,112,112,112,112,112,NR,112,112,112,112,112,112,NR,112,112,112,112,112,112,NR,112,112,112,112,112,112,NR,112,112,112,112,112,112,NR,112,112,112,112,112,112,NR,112,NR,112,112,112,NR,NR,NR,112,NR,112,112,112,NR,112,112,112,112,112,112,NR,112,112,112,112,112,112,NR,112,112,112,112,112,112,NR,NR,112,112,112,112,112,NR,112,NR,NR,112,112,112,NR,112,112,112,112,112,112,NR,112,112,112,112,112,NR,NR,112,112,112,NR,112,112,NR,NR,112,112,112,112,NR,NR,112,112,NR,112
3,Apple Economy,117,117,117,117,108,108,NR,108,108,108,108,NR,NR,NR,108,108,108,108,108,108,NR,108,108,108,108,108,108,NR,108,108,108,108,108,108,NR,108,108,108,108,108,108,NR,108,108,108,108,108,108,NR,108,108,110,110,110,110,NR,110,110,110,110,110,110,NR,110,110,110,110,110,110,NR,110,NR,110,110,110,NR,NR,NR,110,NR,110,110,110,NR,110,110,110,110,110,110,NR,110,110,110,110,110,110,NR,110,110,110,110,110,110,NR,NR,110,110,110,110,110,NR,110,NR,NR,110,110,110,NR,110,110,110,110,110,110,NR,110,110,110,110,110,NR,NR,110,110,110,NR,110,110,NR,NR,110,110,110,110,NR,NR,110,110,NR,110
4,Apple Washington,210,210,210,210,198,198,NR,198,198,198,198,NR,NR,NR,198,198,198,198,198,198,NR,198,198,198,198,198,198,NR,198,198,198,194,194,194,NR,194,180,180,180,180,180,NR,180,180,180,180,180,180,NR,180,180,180,180,180,180,NR,180,180,180,180,180,180,NR,180,180,180,180,180,180,NR,180,NR,180,180,180,NR,NR,NR,180,NR,180,180,180,NR,180,180,180,180,180,180,NR,180,180,180,180,180,180,NR,180,180,180,180,180,182,NR,NR,182,183,183,183,183,NR,185,NR,NR,185,185,185,NR,192,192,192,192,196,196,NR,196,196,196,196,196,NR,NR,196,204,204,NR,204,204,NR,NR,204,204,204,212,NR,NR,214,214,NR,214
5,Apple Australia,0,0,0,0,0,0,NR,0,0,0,0,NR,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,NR,0,0,0,NR,NR,NR,0,NR,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,NR,0,0,0,0,0,NR,0,NR,NR,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,NR,0,0,NR,NR,0,0,0,0,NR,NR,0,0,NR,0
6,Apple Newzeland,222,222,222,222,222,222,NR,222,222,222,222,NR,NR,NR,222,222,222,222,222,222,NR,222,222,222,222,222,222,NR,222,222,222,222,222,222,NR,222,222,222,222,222,222,NR,222,222,222,222,222,222,NR,222,222,222,222,222,222,NR,222,222,222,222,222,222,NR,222,222,222,222,222,222,NR,222,NR,222,222,222,NR,NR,NR,222,NR,222,222,222,NR,222,222,222,222,222,222,NR,222,222,222,222,222,222,NR,222,222,222,222,222,222,NR,NR,222,222,222,222,222,NR,222,NR,NR,222,222,222,NR,222,222,222,222,222,222,NR,222,222,222,222,222,NR,NR,222,222,222,NR,222,222,NR,NR,222,222,222,222,NR,NR,222,222,NR,222
7,Apple Fuji chaina,189,189,189,189,189,189,NR,189,189,189,189,NR,NR,NR,189,189,189,189,189,189,NR,189,189,189,189,189,189,NR,189,189,189,189,189,189,NR,189,189,189,189,189,189,NR,189,189,189,189,189,189,NR,189,189,189,189,189,189,NR,189,189,189,189,189,189,NR,189,189,189,189,189,189,NR,189,NR,189,189,189,NR,NR,NR,189,NR,189,189,189,NR,189,189,189,189,189,189,NR,189,189,189,189,189,189,NR,189,189,189,189,189,189,NR,NR,189,189,189,189,189,NR,189,NR,NR,189,189,189,NR,189,189,189,189,189,189,NR,189,189,189,189,189,NR,NR,189,189,189,NR,189,189,NR,NR,189,189,189,189,NR,NR,189,189,NR,189
8,Apple hazarath palli,0,0,0,0,0,0,NR,0,0,0,0,NR,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,NR,0,0,0,NR,NR,NR,0,NR,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,NR,0,0,0,0,0,NR,0,NR,NR,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,NR,0,0,NR,NR,0,0,0,0,NR,NR,0,0,NR,0
9,Apple Green smith,240,240,240,240,240,240,NR,240,240,240,240,NR,NR,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,NR,240,240,240,NR,NR,NR,240,NR,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,240,NR,NR,240,240,240,240,240,NR,240,NR,NR,240,240,240,NR,240,240,240,240,240,240,NR,240,240,240,240,240,NR,NR,240,240,240,NR,240,240,NR,NR,240,240,240,240,NR,NR,240,240,NR,240
10,Apple Golden delicious,200,200,200,200,200,200,NR,200,200,200,200,NR,NR,NR,200,200,200,200,200,200,NR,200,200,200,200,200,200,NR,200,200,200,200,200,200,NR,200,200,200,200,200,200,NR,200,200,200,200,200,200,NR,200,200,200,200,200,200,NR,200,200,200,200,200,200,NR,200,200,200,200,200,200,NR,200,NR,200,200,200,NR,NR,NR,200,NR,200,200,200,NR,200,200,200,200,200,200,NR,200,200,200,200,200,200,NR,200,200,200,200,200,200,NR,NR,200,200,200,200,200,NR,200,NR,NR,200,200,200,NR,200,200,200,200,200,200,NR,200,200,200,200,200,NR,NR,200,200,200,NR,200,200,NR,NR,200,200,200,200,NR,NR,200,200,NR,200
