_id,store_id,address,landmark,pincode,city,latitude,longitude,opening_hours
1,1,"Head office Complex
Dr. Mari gowda Road
lalbagh, Bangalore","Double Road
Circle",560004,Bengaluru,12.951034444,77.5913956761," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
2,2,"Head office Complex
Dr. Mari gowda Road
lalbagh, Bangalore","Double Road
Circle",560004,Bengaluru,12.951034444,77.5913956761," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
3,3,"Head office Complex
Dr. Mari gowda Road
lalbagh, Bangalore","Double Road
Circle",560004,Bengaluru,12.951034444,77.5913956761," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
4,4,"Head office Complex
Dr. Mari gowda Road
lalbagh, Bangalore","Double Road
Circle",560004,Bengaluru,12.951034444,77.5913956761," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
5,5,"4th Block Jayanagar market
Jayanagar,Bangalore -11","Shopping
Complex",560011,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
6,6,"Mayohall premises
Residency Road, M.G.Road
beside Bangalore - 01",Mayohall,560001,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
7,7,"Nallurahalli,Siddapura
Ramagoddanahalli,
Mahadevapura,Bangalore",White Field,560066,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
8,8,"17 th Cross J.Bazar
Sadashivanagar,
Bangalore-08",Palace Road,560008,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
9,9,"Mahabodhi Society,
old central jail Gandhinagar,
Bangalore-09",Freedom Park,560009,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
10,10,"Sahakari Society, Rajajinagar
5th Block, Bhaysham Circle
Bangalore 10","Rama mindra
2nd Block",560010,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
11,11,"Sahakara Bhavana building,
Vivekanagara Bus stand,
Bangalore","Neelasandra
main road",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
12,12,"Legislature's Home Telecom
Exchange, Bangalore-01",Vidhanasoudha,560001,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
13,13,"Malleshwaram Co-op Society,
8th cross, Margoosa Road,
Bangalore-03",RCS Layout,560003,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
14,14,"Victoria Hospital Premises
K.R.Market Bangalore-02",K.R.Market,560002,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
15,15,"Browsing Hospital Premises
Shivajinagar,Bangalore-1","Shivajinagara
Bus stand",560001,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
16,16,"Kidwai hospital,Hosur
Road, Bangalore-27","Nimhans
Hospital",560027,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
17,17,"Bharath nagar,4th main,
8th Cross 2nd stage B.E.L",Magadi Road,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
18,18,"Kumaraswamy Layout,
14 th main 1stage, Bus Road,
Bangalore","Dayananda
Sagar College",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
19,19,"Shivabalayogi Ashram Opp
3rd Phase J.P.nagar,
Bangalore-18","S.B.Yogi
Ashram",560018,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
20,20,"K.S.R.T.C Main Bus stand,
Subha's Nagar, Bangalore-09","K.S.R.T.C
Busstand",560009,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
21,21,"KIMS Hospital K.R.Road,
Bangalore-02","Vokkaligara
sangha",560002,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
22,22,"City Railway station,
Subhas Nagar, Bangalore-09","Central Railway
Station",560009,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
23,23,"Lalbagh Glass house
stall Bangalore-04",Glass house,560004,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
25,25,"5th Cross, Hombbegowda
nagara Willson garden,
Bangalore 27","Police Station
Willson Garden",560027,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
26,26,"3rd main, 9th Cross,
1st stage, BEL Layout
Sunkada katte, Bangalore",Magadi Road,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
27,27,"B.M.T.C.Busstand
Subha's Nagar, Bangalore-09","Central
B.M.T.C",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
28,28,"34th cross milk booth,
18th Main,4th T Block
Jayanagar, Bangalore","Chandrakala
Parameshwari
Temple",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
29,29,"17th B Cross Saraswathi
Hospital B.S.K. 2nd Stage,
Bangalore-70","Suchitra film
centre",560070,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
30,30,"Pai Layout tin factory, Rajakaluve
Near Mahadavapura Road,
Bangalore","White Field
Road",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
31,31,"17th Cross,Word office
M.C. Extension,Vijayanagar
Bangalore-40","Vijayanagar
Tank",560040,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
32,32,"9th Main Road, Hosahalli park,
Vijayanagar,
Bangalore-40 (New)","Vijayanagar
Park",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
33,33,"50 th Cross, 3rd Main,
4th Block, Rajajinagara,
Bangalore-10",ESI Hospital,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
34,34,"Hudsan Circle, Krushibhavan
Building Corporation,
Bngalore-02",Cubbon Park,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
36,36,"Hudsan Circle, Krushibhavan
Building Corporation,
Bngalore-02",Cubbon Park,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
37,37,"Hudsan Circle, Krushibhavan
Building Corporation,
Bngalore-2",Cubbon Park,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
38,38,"Corporation Head office
Premises, Mission Road,
Bangalore-02",Unity Building,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
39,39,"1st cross, B.M.Sri Circle,
C.M.H. Road, 100ft
Indiranagar, Bangalore",C.M.H.Road,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
40,40,"Nandidurga Layout,
Janata Bazar Premises,
Miller Road, Bangalore","S.B.M.Bank
Nandidurga",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
