_id,name_en,name_kn
1,APPLE DELICIOUS,ಆಪಲ್ ಡೆಲೀಷಿಯಸ್
2,APPLE SIMLA,ಸೇಬು ಸಿಮ್ಲಾ
3,APPLE MISRI,ಸೇಬು ಮಿಸ್ರೀ
4,APPLE WASHINGTON,ವಾಶಿಂಗ್ಟನ್ /ಚಿಲಿ/ಸೌತ್‍ಆಫ್ರಿಕಾ ಸೇಬು
5,APPLE ROYAL GALA,ಆಪಲ್ ರಾಯಲ್ ಗಾಲ
6,APPLE GOLDEN DELICIOUS,ಆಪಲ್ ನ್ಯೂಜಿಲ್ಯಾoಡ್ ವಾಶಿಂಗ್ಟನ್ ರಾಯಲ್ ಗಾಲ
7,APPLE CHINA VARIETY,ಸೇಬು ಚೈನಾ ಫ್ಯೂಜಿ
8,APPLE BRAZIL,ಹಜರತ್‍ಪಲ್ಲಿ ಸೇಬು
9,TAIWAN GELLY 100 GM,ಥೈವಾನ್ ಗೆಲ್ಲಿ 100 ಗ್ರಾಮ್ಸ್
10,APPLE DELICIOUS EXPORT,ಆಪಲ್ ರುಚಿಕರವಾದ ರಪ್ತು
11,BANANA PACHABALE,ಪಚ್ಚಬಾಳೆ
12,BANANA YELLAKKI,ಯಾಲಕ್ಕಿ ಬಾಳೆ
13,BANAN CHANDRA,ಚಂದ್ರಬಾಳೆ
14,BANAN NENDEA,ನೇಂದ್ರಬಾಳೆ
15,CHAKKOTHA FRUIT,ಚಕೋತ ಹಣ್ಣು
16,BANANA RASABLE,ರಸಬಾಳೆ
17,DRY APRICOT,ಜಲ್ದರುಹಣ್ಣು ೨೦೦ ಗ್ರಾ o
18,CUSTORD APPLE,ಸೀತಾಫಲ
19,CHIKO,ಸಪೋಟ
20,GUAVA,ಸೀಬೆ
21,GUAVA ALLAHABAD,ಸೀಬೆ ಅಲಹಾಬಾದ್
22,GRAPES BANGALORE BLUE,ದ್ರಾಕ್ಷಿ ಬೆಂಗಳೂರು ನೀಲಿ
23,GRAPES ANOB E SHABI,ದ್ರಾಕ್ಷಿ ಅನಾಭಿಶಾಯಿ
24,GRAPES - DILLKUSH,ದ್ರಾಕ್ಷಿ ದಿಲ್‍ಕುಷ್
25,GRAPES - SHARAD,ದ್ರಾಕ್ಷಿ ಶರದ್
26,ITALY APPLE,ಇಟಲಿ ಸೇಬು
27,GRAPES SONIKA,ದ್ರಾಕ್ಷಿ ಸೋನಿಕ
28,GRAPES FLAME,ದ್ರಾಕ್ಷಿ ಪ್ಲೇಮ್
29,GRAPES KRISHNA SHOROD,ದ್ರಾಕ್ಷಿ ಕೃಷ್ಣ ಶಾರದ್
30,GRAPES CRIM SAN,ದ್ರಾಕ್ಷಿ ಕ್ರಿಂ ಸ್ಯಾನ್
31,GRAPES TS,ದ್ರಾಕ್ಷಿ ಥಾಮ್ಸನ್ ಸೀಡ್‍ಲೆಸ್
32,GRAPES RED GLOBE AUSTRALIA,ರೇಡ್ ಗ್ಲೋಬ್ ದ್ರಾಕ್ಷಿ
33,GRAPES DRY 200 gram,ಒಣ ದ್ರಾಕ್ಷಿ 200 ಗ್ರಾಮ್ಸ್
34,DRY GRAPES 200GM,ಒಣ ದ್ರಾಕ್ಷಿ 200 ಗ್ರಾಮ್ಸ್
35,JACK FRUITS,ಹಲಸಿನ ಹಣ್ಣು
36,Indian Black Globe Grapes,ಇಂಡಿಯನ್ ಬ್ಲ್ಯಾಕ್ ಗ್ಲೋಬ್
37,PAPAYA RED INDIAN,ಪರಂಗಿಹಣ್ಣು ರೆಡ್ ಇಂಡಿಯನ್
38,ROW MANGO AMARAPALLI,ಮಾವು ಅಮರಪಲ್ಲಿ ಕಾಯಿ
39,CUSTARD APPLE SAHANA,ಸೀತಾಫಲ ಸಹನ
40,GUAVA TAIWAN,ತೈವಾನ್ ಸೀಬೆ
41,MANGO RASPURI,ಮ್ಯಾಂಗೋ ರಸಪುರಿ
42,MANGO SENDARA,ಮ್ಯಾಂಗೋ ಸೆಂದಾರ
43,MANGO BYGANPALLI,ಮ್ಯಾಂಗೋ ಬೈಗನಪಲ್ಲಿ
44,MANGO MALAGOA,ಮ್ಯಾಂಗೋ ಮಲಗೋವಾ
45,MANGO MALLIKA,ಮಲ್ಲಿಕಾ ಮಾವು
46,MANGO THOTAPURI,ಮ್ಯಾಂಗೋ ತೋತಾಪುರಿ
47,MANGO KALAPADU,ಮ್ಯಾಂಗೋ ಕಾಲಪಾಡು
48,MANGO NEELAM,ಮ್ಯಾಂಗೋ ನೀಲಂ
49,MANGO DASHIRI,ಮ್ಯಾಂಗೋ ದಸರಿ
50,MANGA LANGADA,ಮ್ಯಾಂಗೋ ಲಂಗಡ
51,MANGA KESAR,ಮ್ಯಾಂಗೋ ಕೇಸರ್
52,MANGO AMARPALLI,ಮ್ಯಾಂಗೋ ಅಮರಪಲ್ಲಿ
53,MANGO RATHNAGIRI,ಮ್ಯಾಂಗೋ ರತ್ನಗಿರಿ
54,Tender coconut Big,ತೆಂಗಿನಕಾಯಿ ದೊಡ್ಡದು
55,MANGO SAKKEREGUTTI,ಮ್ಯಾಂಗೋ ಸಕ್ಕೆರೆಗುಟ್ಟಿ
56,ORANGE KODAGU,ಕಿತ್ತಳೆ ಕೊಡಗು
57,ORANGE NAGPUR,ನಾಗಪುರ್ ಕಿತ್ತಳೆ
58,APPLE CHINA FUZI,ಸೌತ್ ಆಫ್ರಿಕ ಚಿಕ್ಕ ಕಿತ್ತಳೆಹಣ್ಣು
59,ORANGE AUSTRALIA,ಆಸ್ಟ್ರೇಲಿಯಾ ಕಿತ್ತಳೆ
60,ORANGE EGYPT,ಈಜಿಪ್ಟ್ ಕಿತ್ತಳೆ
61,ORANGE SOUTH AFRICA,ಸೌತ್ ಆಫ್ರಿಕಾ ಕಿತ್ತಳೆ
62,POMEGRANTE,ದಾಳಿಂಬೆ
63,POME GRANATE BHAGAV,ದಾಳಿಂಬೆ ಭಾಗ್ವ
64,CHERRY FRUIT Box,ಚೆರ್ರಿ ಫ್ರೂಟ್
65,POME GRANATE GANESHA,ಪ್ರೊಮ್ ಗ್ರಾನ್ಟೆ ಗಣೇಶ
66,PAPAYA LOCAL,ಸ್ತಳಿಯ ಪರಂಗಿ ಹಣ್ಣು
67,PAPAYA THAIWAN RED LADY,ಪರಂಗಿ ಹಣ್ಣು ತೈವಾನ್ ರೆಡ್ ಲೇಡಿ
68,PAPAYA RED LADY,ಪರಂಗಿ ಹಣ್ಣು ರೆಡ್ ಲೇಡಿ
69,PAPAYA SOLO,ಪಪ್ಪಾಯ ಸೋಲಾ
70,PINE APPLE,ಅನಾನಸ್
71,PLUMS OOTY,ಪ್ಲಮ್ಸ್
72,PLUM AUSTRALIA,ಆಸ್ಟ್ರೇಲಿಯಾ ಪ್ಲಮ್ಸ್
73,KAMRAK,ಕೊಬ್ಬರಿ ಹಣ್ಣು
74,DRAGAN FRUIT,ಡ್ರಾಗನ್ ಫ್ರೂಟ್ಸ್
75,ROSE - APPLE,ರೋಜ್ ಆಪಲ್
76,Anjura Fruit box,ಅಂಜೂರ ಹಣ್ಣಿನ ಪೆಟ್ಟಿಗೆ
77,SWEET TOMRIND(Thailand) 250 gram,ಸಿಹಿ ಹುಣಸೆಹಣ್ಣು(ಥ್ಯೆಲ್ಯಾಂಡ್) 250 ಗ್ರಾಮ್ಸ್
78,WATER MELON LOCAL,ನಾಮಧಾರಿ ಕಲ್ಲಂಗಡಿ
79,WATER MELON KIRAN,ಕಲ್ಲಂಗಡಿ ಕಿರಣ್
80,MELON NANDHARI,ಕಲ್ಲಂಗಡಿ ನಂಧರಿ
81,MOSAMBI,ಮೂಸಂಬಿ
82,MOSAMBI POLO,ಮೋಸಂಬಿ ಪೋಲೊ
83,SWEET MELON NANDHARI (RED),ನಾಮಧಾರಿ ಕರ್ಬೂಜ
84,SWEET MELON LOCAL,ಸ್ವೀಟ್ ಮೆಲಾನ್
85,BORE FRUIT,ಬೋರ್ ಹಣ್ಣು
86,BUTTER FRUIT,ಬೆಣ್ಣೆಹಣ್ಣು
87,Anjura,ಅಂಜೂರ
88,PEAS SEEDS,ಬಟಾಣಿ ಕಾಳು
89,PANNERLE FRUITS,ಬ್ರೆಡ್ ಫ್ರೂಟ್
90,APPLE CHILLE,ಸೇಬು ಚಿಳ್ಳೆ
