Item Code,Item Name
1,APPLE DELICIOUS
2,APPLE SIMLA
3,APPLE MISRI
4,APPLE WASHINGTON
5,APPLE ROYAL GALA
6,APPLE GOLDEN DELICIOUS
7,APPLE CHINA VARIETY
8,APPLE BRAZIL
9,TAIWAN GELLY 100 GM
10,APPLE DELICIOUS EXPORT
11,BANANA PACHABALE
12,BANANA YELLAKKI
13,BANAN CHANDRA
14,BANAN NENDEA
15,CHAKKOTHA FRUIT
16,BANANA RASABLE
17,DRY APRICOT
18,CUSTORD APPLE
19,CHIKO
20,GUAVA
21,GUAVA ALLAHABAD
22,GRAPES BANGALORE BLUE
23,GRAPES ANOB E SHABI
24,GRAPES - DILLKUSH
25,GRAPES - SHARAD
26,ITALY APPLE
27,GRAPES SONIKA
28,GRAPES FLAME
29,GRAPES KRISHNA SHOROD
30,GRAPES CRIM SAN
31,GRAPES TS
32,GRAPES RED GLOBE AUSTRALIA
33,GRAPES DRY 200 gram
34,DRY GRAPES 200GM
35,JACK FRUITS
36,Indian Black Globe Grapes
37,PAPAYA RED INDIAN
38,ROW MANGO AMARAPALLI
39,CUSTARD APPLE SAHANA
40,GUAVA TAIWAN
41,MANGO RASPURI
42,MANGO SENDARA
43,MANGO BYGANPALLI
44,MANGO MALAGOA
45,MANGO MALLIKA
46,MANGO THOTAPURI
47,MANGO KALAPADU
48,MANGO NEELAM
49,MANGO DASHIRI
50,MANGA LANGADA
51,MANGA KESAR
52,MANGO AMARPALLI
53,MANGO RATHNAGIRI
54,Tender coconut Big
55,MANGO SAKKEREGUTTI
56,ORANGE KODAGU
57,ORANGE NAGPUR
58,APPLE CHINA FUZI
59,ORANGE AUSTRALIA
60,ORANGE EGYPT
61,ORANGE SOUTH AFRICA
62,POMEGRANTE
63,POME GRANATE BHAGAV
64,CHERRY FRUIT Box
65,POME GRANATE GANESHA
66,PAPAYA LOCAL
67,PAPAYA THAIWAN RED LADY
68,PAPAYA RED LADY
69,PAPAYA SOLO
70,PINE APPLE
71,PLUMS OOTY
72,PLUM AUSTRALIA
73,KAMRAK
74,DRAGAN FRUIT
75,ROSE - APPLE
76,Anjura Fruit box
77,SWEET TOMRIND(Thailand) 250 gram
78,WATER MELON LOCAL
79,WATER MELON KIRAN
80,MELON NANDHARI
81,MOSAMBI
82,MOSAMBI POLO
83,SWEET MELON NANDHARI (RED)
84,SWEET MELON LOCAL
85,BORE FRUIT
86,BUTTER FRUIT
87,Anjura
88,PEAS SEEDS
89,PANNERLE FRUITS
90,APPLE CHILLE
91,GRAPES INDIAN RED GLOBE
92,CORN BAILED 120GMS
93,CORN BAILED 300GMS
94,Raw Almond
95,BED FRUIT ALASU
96,SOUTH AFRICA SOFT BERRY
97,On Juice 200ML
98,MANGO BADAMI BOX
99,On Juice Apple 1Lts
100,N Juice 200 ml
101,AMLA
102,BEANS
103,BEANS FRUIT
104,KF 500 ml
105,Raif Beans
106,MUSKIN JOLA
107,BRINJAL
108,BRINJAL WHITE
109,BRINJAL ROUND
110,BRINJAL BOTTLE
111,BRINJAL MANGALORE
112,BEET ROOT
113,SUVARNA ROOT
114,BITTER GOURD
115,BOTTLE GOURD
116,CHOW CHOW
117,CUCUMBER LOCAL
118,CUCUMBER NatiI
119,CUCUMBER ISRAIL
120,CUCUMBER EUROPEAN
121,CUCUMBER MANGALORE / SAMBAR
122,CLUSTER BEANS
123,CAPSICUM
124,GUAVA (Red)
125,CAPSICUM RED / YELLOW
126,CHILLIES (GREEN)
127,CHILLIES BAJJI
128,CHILLIES CLEANED
129,CHILLIES SMALL
130,CARROT OOTY
131,CARROT DELHI
132,CARROT NATI
133,COW PEA LOCAL
134,COW PEA LONG
135,COCONUT BIG
136,COCONUT MEDIUM
137,COCONUT SMALL
138,COCONUT OVER SMALL
139,CABBAGE LOCAL
140,CABBAGE RED
141,CABBAGE CHAINA
142,COULI FLOWER BIG
143,COULI FLOWER MEDIMUM
144,COULI FLOWER SMALL
